anime_name;song_name;andy_score;alex_score;astik_score;trim_start;trim_duration;download_url
Bleach;Aqua Timez - Alones;7.8;8;7.5;30;30;https://www.youtube.com/watch?v=Mzi_V0m7Qsk&ab_channel=TriaxFx
Fairy Tail;Snow fairy;7.7;7;9;30;30;https://www.youtube.com/watch?v=N7bMK_XQ-G4&ab_channel=CrunchyrollCollection
Free!;OLDCODEX - Rage on;7.7;7.5;8.5;30;30;https://www.youtube.com/watch?v=-eYK3YP524A
Banana Fish;Survive Said The Prophet - found & lost;7.7;8.5;7;30;30;https://www.youtube.com/watch?v=1xJbdY9B3A8
Puella Magi Madoka Magica;Claris - Connect;7.7;6.5;8.5;30;30;https://www.youtube.com/watch?v=puzLnjXIpr0&ab_channel=Hidari左
"Steins;Gate";Kanako Itou - Fatima;7.7;8;8;30;30;https://www.youtube.com/watch?v=KFOw_sokB50&ab_channel=DrDevinRX
Inuyashiki;"""My Hero"" by MAN WITH A MISSION";7.7;8;7.5;30;30;https://www.youtube.com/watch?v=9vjsu3Lb9Co&t=0s&ab_channel=Funimation
Fate/Zero OP;"""to the beginning"" by Kalafina";7.7;7.5;7;30;30;https://www.youtube.com/watch?v=93YiJx4Sj7k
Tensei shitara slime datta ken;True - Storyteller;7.7;6.5;8.5;30;30;https://www.youtube.com/watch?v=jknXRLtbWNc&ab_channel=Hanako-Ryunoツ
Darker Than Black;Stereopony — Tsukiakari no Michishirube;7.7;7.5;8;30;30;https://www.youtube.com/watch?v=eRJyYfAq2tk
91 Days;TK - Signal;7.7;8.5;7.5;30;30;https://www.youtube.com/watch?v=izIS1nzRqCc&ab_channel=Anicrad
Vinland Saga;"""MUKANJYO"" by Survive Said The Prophet";7.5;8;7;30;30;https://www.youtube.com/watch?v=R3shsgKbd_M&ab_channel=LunarIsolation
Kakushigoto;Flumpool - Chiisana Hibi;7.5;8;8.5;30;30;https://www.youtube.com/watch?v=ey0T9h1Ibng&ab_channel=AniStorm
Inu x Boku SS;MUCC - Nirvana;7.5;8.5;7.5;30;30;https://www.youtube.com/watch?v=xEVcTStgA4A
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai;batta - chase;7.5;7.5;8;30;30;https://www.youtube.com/watch?v=Fc-XPJE3oeM&ab_channel=SekaiYo
Non Non Biyori;Nanairo Biyori;7.5;6.5;9;30;30;https://www.youtube.com/watch?v=SRPqswHvUyw&ab_channel=WarnerBros.JapanAnime
Overlord;"""Clattanoia"" by O×T";7.5;6.5;8;30;30;https://www.youtube.com/watch?v=tVdgHnK71MY
PET;TK from ling tosite sigure - Chou no Tobu Suisou;7.3;8;7;30;30;https://www.youtube.com/watch?v=xkH8ti1gakE
